Company Name,Job Title,Location,Country,Job Category,Job Type,Location Type,Description,Salary,Years of Experience,Date Posted,Application Link,Website Link,Job_Board,Job_Board_Link
Premium - Clube de Benefícios,Recepcionista,Belo Horizonte,Brasil,Insurance Agencies and Brokerages,Full-time,On-site,"Quais serão suas atividades? Atuar na recepção, atender e filtrar ligações, anotar recados e receber visitas, fazer o direcionamento de ligações. Arquivar documentos, esclarecer dúvidas, responder perguntas gerais sobre a empresa ou direcionar as perguntas para outros funcionários qualificados a responder. Enviar e receber correspondências ou produtos, processar a correspondência recebida (pacotes, correio, mensagens), organizá-los e distribuir para o destinatário. Agendar e controlar as salas de reuniões , controlar as chaves e registrar todas informações. O que esperamos de você? Que seja comunicativa ,que tenham capacidade de lidar com soluções de conflitos. Pro atividade e atenção aos detalhes. Sensibilidade às necessidades dos colaboradores, associados e prestadores de serviço. Desejável ensino médio completo e superior cursando.",Salary not mentioned,No Experience mentioned,12/05/2023,https://br.linkedin.com/jobs/view/recepcionista-at-premium-clube-de-benef%C3%ADcios-3605343252?refId=JsUunRAjHLqrCWudZv2Pig%3D%3D&trackingId=YyfWgVJmf0HA3WwJnoLxKQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,http://www.premiumclubeoficial.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
Privia Health,"Director, Compliance",United States,United States,Hospitals and Health Care,Full-time,On-site,"Company Description

Privia Health™ is a technology-driven, national physician enablement company that collaborates with medical groups, health plans, and health systems to optimize physician practices, improve patient experiences, and reward doctors for delivering high-value care in both in-person and virtual settings. The Privia Platform is led by top industry talent and exceptional physician leadership, and consists of scalable operations and end-to-end, cloud-based technology that reduces unnecessary healthcare costs, achieves better outcomes, and improves the health of patients and the well-being of providers.

Job Description

Overview of the Role:

The Director, Compliance will work with the Chief Compliance Officer (CCO) to ensure all required elements of an effective Compliance Program are met. This position will be responsible for Compliance operations, including, but not limited to, day to day oversight of the ethics hotline, progress on the Compliance work plan, and the Compliance training program. This position will also be responsible for reviewing and developing processes and controls to ensure compliance with state and federal laws and regulations applicable to Privia Health Group, Inc and its subsidiaries and affiliates. The Director, Compliance will be responsible for providing expert guidance on aspects of policy development, protocols, and industry best practices.

Primary Job Duties
Assist the Chief Compliance Officer in the oversight of the Compliance Program of Privia Health Group, Inc. and its subsidiaries and affiliates.
Manage daily activities of Privia’s Compliance Team.
May be designated as the Compliance Officer of certain Privia Medical Groups and other Privia subsidiaries or affiliates as determined by Privia’s Chief Compliance Officer and related Governing Board.
Partner with the Legal Department to maintain current knowledge of healthcare legal and regulatory requirements and industry standards and assist in evaluating the impact to Privia Health Group, Inc, and its subsidiaries and affiliates and determining any necessary changes in policies or procedures.
Assist the Chief Compliance Officer in conducting the compliance risk assessment processes and developing Privia’s Compliance Plan(s).
Oversee PolicyStat (policy management tool) and adherence to related requirements.
Determining policy gaps and creating or modifying compliance policies as needed.
Partner with the Compliance Committees of Privia’s subsidiaries and affiliates groups to coordinate quarterly meetings, communications, reporting to the related Board, etc.
Ensure minutes are maintained to evidence Privia’s subsidiary and affiliates Compliance Committee meetings.
Coordinate compliance activities with the Director of Government Programs/ACO Compliance Officer
Collaborate with departmental and market management to develop procedures, controls, and policies to ensure compliance.
Assist with the diligence related to new markets/acquisitions.
Assist the Chief Compliance Officer with the integration/implementation of Privia’s Compliance Program into new markets.
Assist in developing and leading Privia’s Compliance Education Program.
Daily monitoring of the ethics hotline, responses, investigations and reporting.
Assist the Chief Compliance Officer in performing investigations of allegations of violations of the Company’s Compliance Program, laws, and regulations.
Assist the Chief Compliance Officer and Sr. Director of Audit to determine an audit/monitoring plan.
Assist the Chief Compliance Officer in the oversight of corrective action plans.
Assist in the coordination and timely response of audits performed by regulatory agencies or payors.
Develop and monitor dashboards to oversee compliance risks and activities and provide reporting.
Support the Chief Compliance Officer in preparation and delivery of reports to the Compliance Committee of the Board of Directors, Market-Level Board of Directors, and Executive Management team.
Perform other duties as assigned.

Qualifications
Bachelor’s Degree highly preferred
Additional Education or Certification specific to Healthcare Compliance such as a Certification in Healthcare Compliance, Masters in Healthcare Law, experience as a Healthcare Paralegal, or JD of Law preferred.
8+ years’ experience in healthcare compliance with a keen understanding of healthcare laws and regulations. Must be able to review and understand healthcare regulations and guidelines and apply them to business practices.
Healthcare compliance experience required, must have knowledge and understanding of OIG healthcare compliance guidance.
Experience with Medical Groups and Physician Practices is preferred.
Knowledge and experience in conducting compliance investigations.
Must comply with HIPAA rules and regulations

Communication Methods Used
Email
Phone
Google Chat

Colorado, New York, New Jersey, California and Washington Residents Only: The salary range for this role is $120,000 to $150,000 in base pay and exclusive of any bonuses or benefits. The base pay offered will be determined based on relevant factors such as experience, education, and geographic location.

Additional Information

All your information will be kept confidential according to EEO guidelines

Technical Requirements (for remote workers only, not applicable for onsite/in office work):

In order to successfully work remotely, supporting our patients and providers, we require a minimum of 5 MBPS for Download Speed and 3 MBPS for the Upload Speed. This should be acquired prior to the start of your employment. The best measure of your internet speed is to use online speed tests like https://www.speedtest.net/. This gives you an update as to how fast data transfer is with your internet connection and if it meets the minimum speed requirements. Work with your internet provider if you have questions about your connection. Employees who regularly work from home offices are eligible for expense reimbursement to offset this cost.

Privia Health is committed to creating and fostering a work environment that allows and encourages you to bring your whole self to work. Privia is a better company when our people are a reflection of the communities that we serve. Our goal is to encourage people to pursue all opportunities regardless of their age, color, national origin, physical or mental (dis)ability, race, religion, gender, sex, gender identity and/or expression, marital status, veteran status, or any other characteristic protected by federal, state or local law.",Salary not mentioned,No Experience mentioned,12/05/2023,https://www.linkedin.com/jobs/view/director-compliance-at-privia-health-3605323269?refId=JsUunRAjHLqrCWudZv2Pig%3D%3D&trackingId=%2FrznvGYRLwcAfF4637F8bg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,http://www.priviahealth.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
Gazin,CAIXA - FILIAL ANANINDEUA - PA,Douradina,Brasil,Reupholstery and Furniture Repair,Full-time,On-site,"Responsável por fazer a abertura e o fechamento de caixa, processar e receber o pagamento e emitir notas fiscais. Além das tarefas administrativas, atua diretamente no atendimento ao cliente. Gerar o fundo de reserva para servir de troco na operação de compra e recebimento dos clientes Realizar atendimento ao cliente Auxiliar na conferência de estoque Gerir, conferir, organizar e realizar o fechamento do caixa Manter a limpeza e abastecimento de produtos do local Auxiliar na organização do layout da loja Auxiliar no processo de venda Realizar a emissão de NF Organizar documentos gerais e pagamentos da loja Gerir processos e realizar tarefas de controle administrativo geral Outras atividades afins.",Salary not mentioned,No Experience mentioned,12/05/2023,https://br.linkedin.com/jobs/view/caixa-filial-ananindeua-pa-at-gazin-3605338955?refId=JsUunRAjHLqrCWudZv2Pig%3D%3D&trackingId=evY%2BxTxCSsMjmvp%2Bl0gWHA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,http://www.gazin.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
FARFETCH,Junior Studio's Assistant,Porto,Portugal,Software Development,Temporary,On-site,"FARFETCH exists for the love of fashion. Our mission is to be the global platform for luxury fashion, connecting creators, curators and consumers.

We're a positive platform for good, bringing together an incredible creative community made up by our people, our partners and our customers. This community is at the heart of our business success. We welcome differences, empower individuality and celebrate diverse skills and perspectives, creating an inclusive environment for everyone. We are FARFETCH for All.

CREATIVE OPERATIONS

We're a creative family, building copy, data and visual assets for each corner of the FARFETCH Ecommerce Platform. We are dedicated to providing gold standard imagery, content and production services for our partners and creating an engaging on-site experience for our customers.

PORTO

Our Porto office is located in Portugal's vibrant second city, known for its history and its creative yet cosy environment. From Account Management to Technology and Product, whatever your skills are, you'll find your fit here. You can have an informal meeting in the treehouse or play the piano in your lunch break!

THE ROLE

Reporting to the Studio's Lead, the Studio's Assistant is responsible for dressing the models following the stylists' direction and managing their day to ensure that shoot targets are achieved. A passion for current culture, trends and brands is essential to the success of the role. You will work with the stylist to produce inspiring images that reflect the Farfetch brand aesthetic.

What You'll Do
Interpret the stylist and styling manager's creative direction, while constructively raising any issues if it is not translating on set;
Dress the models following the stylist's direction;
Create an upbeat atmosphere in the studios that is conducive to high productivity.
Who You Are
1+ years of experience as a stylist assistant, or in a similar fashion-related role, either in-house or as a freelancer;
Calm and composed in a frenetic environment;
At ease with quick, on-the-spot decisions;
Understanding of the business' needs from both a creative and production perspective;
Deep and broad brand knowledge;
Understanding of seasonal trends and brand adjacency.
Rewards & Benefits
Training opportunities and free access to Udemy.
EQUAL OPPORTUNITIES STATEMENT
FARFETCH is an equal opportunities employer ensuring that all applicants are treated equally and fairly throughout our recruitment process. We are determined that no applicant experiences discrimination on the basis of sex, race, ethnicity, religion or belief, disability, age, gender identity, ancestry, sexual orientation, veteran status, marriage and civil partnership, pregnancy and maternity, or any other basis prohibited by applicable law. We continue to build our consciously inclusive culture as part of our Positively FARFETCH strategy throughout our business, partnerships and communities.",Salary not mentioned,No Experience mentioned,12/05/2023,https://pt.linkedin.com/jobs/view/junior-studio-s-assistant-at-farfetch-3603581327?refId=JsUunRAjHLqrCWudZv2Pig%3D%3D&trackingId=Cc7sh4MOkYXOjGzf%2Ftj2ww%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,http://www.farfetch.com.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
RH Curitiba | 41 3045-7127,Orçamentista - home office,Curitiba,Brasil,Staffing and Recruiting,Full-time,On-site,"Descrição Geral

Empresa localizada na cidade de Curitiba/PR do ramo Financeiro, contrata Orçamentista.

Atribuições

Assistente de orçamentos salário r$ 2.200,00 + vt ou ajuda combustível (r$ 240,00) + vale alimentação (r$ 260,00) local: xaxim requisitos: experiência na função. Ensino médio completo. Atividades: para trabalhar com analise e atualização de orçamentos, realizar a descrição de peças e acessórios e montar composição dos preços. Horário: segunda a sexta das 08:00 as 18:00.

Tipo de Vínculo

Efetivo - Home Office",Salary not mentioned,No Experience mentioned,21/04/2023,https://br.linkedin.com/jobs/view/or%C3%A7amentista-home-office-at-rh-curitiba-41-3045-7127-3605314559?refId=JsUunRAjHLqrCWudZv2Pig%3D%3D&trackingId=hvAF17GNw1z6bCgbI2%2BEhA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,http://www.curitibarh.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
Confidencial,Recepcionista,Greater São Paulo Area,Unknown,Photography,Full-time,On-site,"Responsável por acompanhar o motorista/agente funerário no recebimento do corpo para o velório, verificando se a sala e demais detalhes estão de acordo com o contratado/solicitado; Recepcionar familiares e amigos do falecido; Recebimento de valores pendentes; Informações e vendas de coroas e urnas de cinzas; Checagem das condições das salas, banheiros e estacionamento para melhor recebimento dos familiares; Demais atividades pertinentes ao cargo. -Desejável não ter receio de ver/tocar em falecidos. -Região: Zona sul, centro-oeste e zona leste",Salary not mentioned,No Experience mentioned,21/04/2023,https://br.linkedin.com/jobs/view/recepcionista-at-confidencial-3605319210?refId=JsUunRAjHLqrCWudZv2Pig%3D%3D&trackingId=S6VbgeJYaAgU6I4CjK3saA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,http://www.econfidencial.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
Mercado Livre Brasil,Analista Júnior de Treinamento - Mercado Envios,São Paulo,Brasil,"Technology, Information and Internet",Full-time,On-site,"No Mercado Livre estamos democratizando o comércio, o dinheiro e os pagamentos na América Latina.
No Mercado Envios, administramos o estoque das pessoas que vendem e entregamos os produtos para as que compram, melhorando sua experiência em nossa plataforma. Em um mundo em constante evolução, nossa capacidade para entregar rapidamente os produtos que são comprados através do Mercado Livre tornou-se um requisito para competir. Faça parte da equipe que está liderando a logística na América Latina, oferecendo soluções customizadas de classe mundial e integrando carriers locais e regionais, através de um comércio que não reconhece fronteiras.
Temos um desafio para as pessoas que:
Vibram energia empreendedora: são movidas pela curiosidade, nunca desistem e estão focadas em superar seus próprios limites.
Dão o máximo, porque adoram trabalhar com compromisso e dedicação.
Encaram as mudanças como oportunidades e aprendem com seus erros.
A excelência e a execução são primordiais na sua forma de fazer as coisas.
Promovem o bom clima, a alegria e a diversão.
Sabem como construir com outras pessoas e desfrutam trabalhando em equipe.
Imagine você empreendendo projetos desafiadores, dinâmicos e inovadores, e sendo responsável por:
Apoiar a área na execução dos treinamentos operacionais, incluindo a organização dos materiais de apoio, do local e das ferramentas, colaborando com os Representantes de Treinamento.
Identificar as melhores práticas para a entrega dos conteúdos oferecidos, atuando em parceria com a Operação nas soluções de aprendizagem para a reciclagem dos processos.
Propor melhorias nos processos e conteúdos e aplicar a didática conforme a realidade da Operação, desenvolvendo a identidade visual, os treinamentos, e a produção de pílulas de conhecimento e dinâmicas.
Acompanhar os dashboards para possibilitar a análise dos resultados dos treinamentos e os principais indicadores de desempenho, aprendizagem e desenvolvimento, incluindo a participação em treinamentos, a aplicação de conteúdos e o feedback.
Pesquisar sobre as possíveis melhorias dos processos e sistemas para contribuir com sugestões em apoio às auditorias de qualidade, prestando suporte para o Programa de Formação dos Multiplicadores e Treinamento de Integração operacional, entre outros projetos da área.
Requisitos:
Ter experiência com treinamento e conhecimentos sobre as ferramentas do Google.
Apresentar conhecimentos sobre ferramentas para a aplicação dos treinamentos, como Gamificação, Metodologia 80% 20%, que apoiam a aprendizagem.
Ter fácil acesso à Cajamar, no estado de São Paulo, para posterior mudança para Araçariguama, na Rodovia Castelo Branco, km 46.
Ter disponibilidade para atuar no Turno 2, no horário das 14:00 às 22:00 horas, de segunda a sexta-feira.
Nós lhe propomos:
Ser parte de uma empresa com espírito empreendedor, na qual adoramos pensar grande e em longo prazo.
Ser protagonista de seu desenvolvimento em um ambiente de oportunidades, aprendizagem, crescimento, expansão e projetos desafiadores.
Compartilhar e aprender em equipe, com excelentes profissionais e especialistas.
Um excelente clima de trabalho, com todo o necessário para você viver uma grande experiência. :)
No Mercado Livre, trabalhamos para promover uma cultura inclusiva, que busca a equidade e valoriza as diferentes perspectivas. Isso se traduz em Gênero, Religião, Pessoas com Deficiência, LGBTQIA+, Etnia e diversidade de experiências. Trabalhamos todas as nossas vagas com base nessa premissa. Faça parte do nosso time!",Salary not mentioned,No Experience mentioned,12/05/2023,https://br.linkedin.com/jobs/view/analista-j%C3%BAnior-de-treinamento-mercado-envios-at-mercado-livre-3603580113?refId=JsUunRAjHLqrCWudZv2Pig%3D%3D&trackingId=70HWsiD6QjDrqsdFupm2SA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,http://www.mercadolivrecom.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
Invitalia,Junior rapporti istituzionali e con gli utenti,Rome,Italia,Telecommunications,Full-time,On-site,"INFRATEL è la società di scopo del Gruppo INVITALIA ed è il soggetto attuatore del Piano nazionale Banda Larga e del Progetto Strategico Banda Ultra Larga con l’obiettivo di favorire il più possibile lo sviluppo socio-economico delle aree coinvolte e del Paese nel suo complesso.

INFRATEL, inoltre, ai sensi di una Convenzione sottoscritta tra la Presidenza del Consiglio dei Ministri – DIPARTIMENTO PER LA TRASFORMAZIONE DIGITALE, INVITALIA e INFRATEL, è il soggetto attuatore della Proposta Operativa relativa ai sub-investimenti compresi nell’investimento 3 “Reti ultraveloci” della Missione 1 – Componente 2 del Piano Nazionale di Ripresa e Resilienza per l’Italia (PNRR).

Posizione:

La risorsa individuata supporterà il responsabile nelle attività dei rapporti istituzionali riferite ai diversi Piani Operativi compresi nell’investimento 3 “Reti Ultra veloci” della missione 1 – componente 2 del PNRR per garantire il necessario supporto per l’intera durata del PNRR.

In particolare, sarà coinvolta nelle attività di:
predisposizione di comunicazioni istituzionali e non, calibrate in base all’ interlocutore garantendo la coerenza con gli obiettivi e la mission dei piani;
produzione e revisione di presentazioni, report e altri documenti per riunioni e meeting di carattere istituzionale;
monitoraggio dei lavori di enti e associazioni, dell’attività singola dei parlamentari di interesse, della stampa e dei policy makers ai fini della individuazione di emendamenti, atti di sindacato ispettivo, progetti di legge, decreti-legge, ordinanze, circolari di interesse per la Divisione;
aggiornamento del portale web dedicato ai piani.
Requisiti:

Il candidato ideale deve essere in possesso di:
laurea in Giurisprudenza, Economia, Scienze politiche o equivalente;
attestazione o partecipazione a corsi/seminari di approfondimento/Master sulle tematiche di comunicazione, media e relazioni pubbliche con approccio istituzionale ed internazionale;
può costituire requisito preferenziale aver maturato un’ esperienza maggiore di un anno in ambito di comunicazione/ufficio stampa o in ruoli similari in contesti istituzionali o grandi società di consulenza e/o lobbying;
esperienza maggiore di un anno in ambito di comunicazione/ufficio stampa o in ruoli similari in contesti istituzionali o grandi società di consulenza e/o lobbying;
competenze in materia di comunicazione digitale/web;
disponibilità a trasferte;
capacità organizzative e di pianificazione delle attività per obiettivi.
Altre informazioni:

Conoscenze informatiche:
ottima conoscenza del pacchetto Microsoft Office, in particolare di WordPress, G Suite, Canva;
tools per la creazione di contenuti e utilizzo professionale social media
Conoscenze linguistiche:
ottima conoscenza della lingua inglese scritta e parlata.
Profilo ricercato: INFPNRR021 Junior rapporti istituzionali e con gli utenti

Sede di lavoro: Roma

Tipologia e Durata contratto: tempo determinato fino al 30 giugno 2026

Numero risorse ricercate: 1",Salary not mentioned,No Experience mentioned,12/05/2023,https://it.linkedin.com/jobs/view/junior-rapporti-istituzionali-e-con-gli-utenti-at-invitalia-3605325009?refId=JsUunRAjHLqrCWudZv2Pig%3D%3D&trackingId=SVfp%2F7XEiMUi3Zo46jxoMw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,http://www.invitalia_2.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
Bebida na Porta,Auxiliar Operacional,Rio de Janeiro,Brasil,Retail Recyclable Materials & Used Merchandise,Full-time,On-site,"Atendimento telefônico e atendimento online. Plataformas de aplicativos de delivery. (Rappi, Ifood, Zé delivery) Import de pedidos em nosso sistema, realização conferência de dados e plataformas, solucionar dúvidas dos clientes, suporte para nossas unidades; Conhecimento básico em Excel (sistema integrado ao Excel), páginas da internet, Google Maps e Aplicativos de delivery (Rappi, Ifood, Zé delivery e plataforma própria).",Salary not mentioned,No Experience mentioned,12/05/2023,https://br.linkedin.com/jobs/view/auxiliar-operacional-at-bebida-na-porta-3605344251?refId=JsUunRAjHLqrCWudZv2Pig%3D%3D&trackingId=Qz7gouvB0XKj5RWb4r8JfA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,http://www.bebidanaporta.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
The Hot Machine,Repositor de Estoque,Brasília,Brasil,Retail Recyclable Materials & Used Merchandise,Full-time,On-site,"[VAGA PARA ABASTECEDOR DE MERCADINHOS AUTÔNOMOS EM BRASÍLIA BUY MERCADINHOS] A Buy Mercadinhos é uma rede de mini mercados autônomos de Brasília, que está agora a procura de uma pessoa para abastecer, bem como ser responsável por demais atividades inerentes a operação do nosso maior mercadinho. Do que se trata? Cuidar do coração do negócio: os produtos certos na prateleira, na hora certa, na quantidade exata para que nossos clientes consigam comprar. Como? Abastecendo, higienizando, fazendo a manutenção preventiva, corretiva e ser responsável pelo funcionamento e operação do nosso maior mini mercado autônomo, seguindo nossos procedimentos pré-determinados. O que você precisa ter: - Necessário ter carteira B; - Capacidade de organização; - Rapidez e versatilidade; - Experiência com reposição de produtos em supermercados é um diferencial; Remuneração: Remuneração à combinar. Necessário ter carteira B. Para saber mais sobre a empresa, acesse: buymercadinhos.com.br instagram.com/buymercadinhos Início previsto: imediato - Experiência com reposição de produtos em supermercados é um diferencial.",Salary not mentioned,No Experience mentioned,12/05/2023,https://br.linkedin.com/jobs/view/repositor-de-estoque-at-the-hot-machine-3605344091?refId=JsUunRAjHLqrCWudZv2Pig%3D%3D&trackingId=WZDgoR7kZ8uhCm2mHvFjGg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,http://www.thehotmachine.com,Linkedin,https://www.linkedin.com/jobs/search/?currentJobId=3602134195&geoId=92000000&location=Worldwide&refresh=true
